,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_home,reb_home,pts_home,wl_home,ast_home,tov_home,pf_home,plus_minus_home,game_year,off_rebounds_home
9228,20800113,3,6,0,0,0,0,0,0,0,0,0,Oklahoma City Thunder,50.0,92.0,L,14.0,13.0,21.0,-17,2008,9
9229,20800114,5,5,1,3,0,0,0,0,0,0,0,Washington Wizards,42.0,95.0,W,13.0,17.0,18.0,8,2008,14
9230,20800115,5,2,0,2,0,0,0,0,0,0,1,Los Angeles Clippers,30.0,98.0,L,23.0,13.0,23.0,-5,2008,9
9231,20800116,4,5,1,2,0,0,0,0,0,0,0,Phoenix Suns,51.0,82.0,L,11.0,14.0,13.0,-12,2008,12
9232,20800117,1,3,1,0,0,0,0,0,0,0,0,Cleveland Cavaliers,34.0,110.0,W,30.0,9.0,20.0,11,2008,5
9233,20800118,3,1,0,2,0,1,0,0,0,0,0,Chicago Bulls,46.0,98.0,W,13.0,7.0,23.0,7,2008,6
9234,20800119,1,9,1,3,0,0,0,0,0,0,2,Golden State Warriors,51.0,102.0,L,20.0,15.0,23.0,-5,2008,14
9235,20800120,3,4,1,6,0,0,0,0,0,0,1,Charlotte Hornets,39.0,104.0,W,16.0,15.0,26.0,8,2008,14
9236,20800121,4,3,0,1,0,0,0,1,0,0,0,Indiana Pacers,49.0,92.0,L,22.0,19.0,28.0,-2,2008,8
9237,20800122,9,4,1,2,0,0,0,0,0,0,0,Miami Heat,52.0,97.0,W,19.0,15.0,15.0,20,2008,16
9238,20800123,3,7,0,2,0,0,0,0,0,0,0,Brooklyn Nets,45.0,115.0,W,20.0,8.0,20.0,7,2008,12
9239,20800124,5,3,1,2,0,0,0,0,0,0,0,New York Knicks,48.0,116.0,W,23.0,14.0,22.0,10,2008,11
9240,20800125,3,3,3,1,0,0,0,0,0,0,0,Boston Celtics,37.0,85.0,L,22.0,18.0,16.0,-9,2008,10
9241,20800126,3,3,1,0,0,0,0,0,0,0,0,Memphis Grizzlies,36.0,96.0,L,14.0,13.0,29.0,-5,2008,7
9242,20800127,3,3,2,1,0,0,0,0,0,0,0,New Orleans Pelicans,40.0,87.0,W,14.0,9.0,17.0,5,2008,9
9243,20800128,2,2,5,3,0,0,0,0,0,0,2,Dallas Mavericks,54.0,100.0,L,17.0,18.0,22.0,-2,2008,12
9244,20800129,1,1,1,2,0,0,0,0,0,0,0,San Antonio Spurs,36.0,77.0,W,15.0,14.0,14.0,2,2008,5
9245,20800130,2,2,0,4,0,0,0,0,0,0,0,Sacramento Kings,40.0,95.0,L,17.0,19.0,23.0,-2,2008,8
9246,20800131,4,6,0,3,0,0,0,0,0,0,0,Los Angeles Lakers,43.0,95.0,L,24.0,12.0,30.0,-11,2008,13
9247,20800132,3,5,1,4,0,0,0,0,0,0,1,Los Angeles Clippers,40.0,103.0,L,20.0,11.0,22.0,-18,2008,13
9248,20800133,6,1,0,1,0,0,0,0,0,0,0,Atlanta Hawks,30.0,107.0,L,23.0,17.0,22.0,-12,2008,8
9249,20800134,4,7,0,5,0,0,0,0,0,0,1,Philadelphia 76ers,58.0,110.0,W,31.0,14.0,13.0,25,2008,16
9250,20800136,2,1,1,1,0,0,0,0,0,0,0,Minnesota Timberwolves,33.0,83.0,L,20.0,11.0,21.0,-5,2008,5
9251,20800137,2,2,0,0,0,0,1,0,0,0,1,Chicago Bulls,48.0,104.0,W,22.0,11.0,18.0,13,2008,5
9252,20800138,5,1,0,1,0,0,1,0,0,0,0,Houston Rockets,41.0,91.0,W,21.0,16.0,17.0,9,2008,8
9253,20800139,1,3,1,7,0,0,0,0,0,0,4,Milwaukee Bucks,43.0,97.0,L,17.0,14.0,28.0,-5,2008,12
9254,20800140,3,6,3,2,0,0,0,0,0,0,0,Toronto Raptors,52.0,107.0,W,31.0,20.0,18.0,11,2008,14
9255,20800141,0,3,0,2,0,0,0,0,0,0,2,Charlotte Hornets,41.0,85.0,L,13.0,14.0,24.0,-5,2008,5
9256,20800142,6,4,0,3,0,0,1,0,0,0,0,New York Knicks,54.0,114.0,L,30.0,15.0,20.0,-10,2008,14
9257,20800143,2,3,0,4,0,0,0,0,0,0,1,Denver Nuggets,42.0,90.0,W,22.0,10.0,23.0,6,2008,9
9258,20800144,2,2,0,3,0,0,0,0,0,0,1,Phoenix Suns,40.0,104.0,W,15.0,14.0,21.0,18,2008,7
9259,20800145,2,2,1,1,0,0,0,0,0,0,1,Sacramento Kings,42.0,88.0,L,16.0,18.0,20.0,-2,2008,6
9260,20800147,4,7,1,3,0,0,0,0,0,0,1,Utah Jazz,47.0,109.0,W,28.0,11.0,24.0,12,2008,15
9261,20800148,1,5,1,1,0,0,0,0,0,0,4,Los Angeles Clippers,47.0,83.0,L,22.0,13.0,9.0,-3,2008,8
9262,20800149,0,1,1,4,0,0,0,0,0,0,2,Charlotte Hornets,34.0,83.0,L,11.0,14.0,22.0,-17,2008,6
9263,20800150,2,1,0,2,0,0,0,0,0,0,1,Indiana Pacers,46.0,113.0,W,26.0,14.0,18.0,17,2008,5
9264,20800151,1,2,1,4,0,0,0,0,0,0,0,Orlando Magic,37.0,103.0,W,17.0,17.0,23.0,13,2008,8
9265,20800152,4,0,1,1,0,0,0,0,0,0,0,Washington Wizards,37.0,87.0,L,17.0,15.0,22.0,-7,2008,6
9266,20800153,3,1,1,1,0,0,1,0,0,0,0,Boston Celtics,45.0,110.0,W,22.0,14.0,20.0,9,2008,7
9267,20800154,3,8,0,1,0,0,0,0,0,0,0,Brooklyn Nets,39.0,82.0,L,12.0,13.0,31.0,-24,2008,12
9268,20800155,0,4,1,2,0,0,0,0,0,0,1,Memphis Grizzlies,46.0,109.0,W,26.0,17.0,23.0,15,2008,7
9269,20800156,0,2,0,3,0,0,0,0,0,0,1,Denver Nuggets,33.0,114.0,W,23.0,15.0,26.0,9,2008,5
9270,20800157,2,1,1,4,0,0,0,0,0,0,2,Golden State Warriors,40.0,111.0,W,20.0,16.0,24.0,5,2008,8
9271,20800158,6,4,1,1,0,0,0,0,0,0,1,Los Angeles Lakers,43.0,116.0,W,27.0,15.0,24.0,7,2008,12
9272,20800159,7,8,2,3,0,0,0,1,0,0,1,Atlanta Hawks,58.0,91.0,W,23.0,17.0,15.0,4,2008,20
9273,20800160,0,1,1,1,0,0,0,0,0,0,0,Detroit Pistons,35.0,96.0,W,19.0,12.0,20.0,7,2008,3
9274,20800161,1,5,0,1,0,0,1,0,0,0,2,Miami Heat,41.0,95.0,L,21.0,10.0,20.0,-6,2008,8
9275,20800162,3,1,0,2,0,0,0,0,0,0,0,Houston Rockets,40.0,86.0,L,14.0,12.0,21.0,-10,2008,6
9276,20800163,1,0,2,3,0,0,0,0,0,0,0,Minnesota Timberwolves,33.0,102.0,W,29.0,15.0,19.0,6,2008,6
9277,20800164,4,5,0,2,0,0,0,0,0,0,0,New Orleans Pelicans,34.0,96.0,L,24.0,14.0,19.0,-9,2008,11
9278,20800165,1,1,0,3,0,0,0,0,0,0,3,Oklahoma City Thunder,42.0,88.0,L,16.0,21.0,19.0,-20,2008,5
