,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26659,29800410,6,2,1,1,0,0,0,0,0,0,0,Oklahoma City Thunder,34.0,87.0,L,21.0,22.0,16.0,-17,1999,10
26660,29800411,2,1,1,2,0,0,0,0,0,0,0,Milwaukee Bucks,38.0,94.0,W,22.0,11.0,19.0,9,1999,6
26661,29800412,3,6,1,1,0,0,0,0,0,0,0,Portland Trail Blazers,47.0,88.0,W,24.0,18.0,16.0,2,1999,11
26662,29800413,0,2,2,0,0,0,0,0,0,0,2,New York Knicks,41.0,91.0,L,20.0,13.0,27.0,-8,1999,4
26663,29800414,5,3,0,0,0,0,0,0,0,0,0,Houston Rockets,40.0,107.0,W,24.0,8.0,19.0,14,1999,8
26664,29800415,2,3,0,0,0,0,0,0,0,0,1,Atlanta Hawks,36.0,83.0,W,13.0,12.0,20.0,1,1999,5
26665,29800417,4,3,1,1,0,0,0,0,0,0,1,Los Angeles Clippers,42.0,88.0,L,14.0,15.0,24.0,-12,1999,9
26666,29800418,4,10,0,1,0,0,0,0,0,1,0,Memphis Grizzlies,45.0,98.0,L,27.0,25.0,30.0,-18,1999,16
26667,29800420,3,3,0,0,0,0,1,0,0,0,3,Brooklyn Nets,38.0,98.0,L,23.0,9.0,24.0,-2,1999,7
26668,29800421,2,3,1,1,0,0,0,0,0,0,1,Boston Celtics,27.0,109.0,W,23.0,12.0,17.0,10,1999,7
26669,29800422,2,5,1,1,0,0,0,0,0,0,3,Detroit Pistons,38.0,93.0,W,17.0,8.0,22.0,16,1999,9
26670,29800423,4,2,0,1,0,0,0,0,0,0,1,Toronto Raptors,43.0,101.0,W,27.0,15.0,23.0,10,1999,7
26671,29800424,1,4,0,2,0,0,0,0,0,0,2,Philadelphia 76ers,33.0,81.0,L,24.0,11.0,18.0,-10,1999,7
26672,29800425,4,2,0,1,0,0,0,1,0,0,0,Washington Wizards,35.0,105.0,L,21.0,12.0,20.0,-2,1999,7
26673,29800426,1,1,1,2,0,0,0,0,0,1,1,Dallas Mavericks,31.0,78.0,L,20.0,16.0,16.0,-20,1999,6
26674,29800427,6,4,1,1,0,0,1,0,0,0,1,Oklahoma City Thunder,47.0,87.0,L,19.0,18.0,21.0,-8,1999,13
26675,29800428,4,3,1,3,0,0,0,0,0,0,0,Houston Rockets,36.0,104.0,W,17.0,16.0,14.0,9,1999,11
26676,29800429,2,2,0,2,0,0,0,0,0,0,1,Portland Trail Blazers,34.0,90.0,L,28.0,10.0,13.0,-3,1999,6
26677,29800430,4,6,1,1,0,0,0,0,0,1,1,Utah Jazz,47.0,101.0,L,30.0,26.0,26.0,-3,1999,13
26678,29800431,3,3,0,3,0,0,0,0,0,0,0,Denver Nuggets,34.0,87.0,L,16.0,10.0,28.0,-14,1999,9
26679,29800432,7,3,1,3,0,0,0,0,0,0,0,Detroit Pistons,40.0,87.0,W,19.0,12.0,16.0,15,1999,14
26680,29800433,2,6,1,3,0,0,0,0,0,0,0,Orlando Magic,42.0,73.0,L,17.0,21.0,29.0,-11,1999,12
26681,29800434,3,1,2,1,0,0,1,0,0,0,0,Milwaukee Bucks,37.0,102.0,W,26.0,21.0,28.0,8,1999,8
26682,29800435,3,7,0,5,0,0,1,0,0,0,1,Golden State Warriors,60.0,78.0,L,12.0,22.0,25.0,-15,1999,16
26683,29800436,1,13,0,1,0,0,0,0,0,0,2,Sacramento Kings,57.0,86.0,L,17.0,18.0,21.0,-14,1999,15
26684,29800437,5,4,0,2,0,0,0,0,0,0,1,Cleveland Cavaliers,37.0,74.0,L,16.0,13.0,31.0,-4,1999,11
26685,29800438,3,2,1,3,0,0,1,0,0,0,0,Atlanta Hawks,40.0,85.0,L,9.0,13.0,11.0,-5,1999,10
26686,29800439,2,5,1,6,0,0,0,0,0,0,0,Philadelphia 76ers,40.0,88.0,W,18.0,14.0,23.0,4,1999,14
26687,29800440,5,5,1,3,0,0,0,0,0,0,0,Indiana Pacers,52.0,87.0,L,23.0,12.0,14.0,-1,1999,14
26688,29800441,3,4,0,1,0,0,0,0,0,0,0,Chicago Bulls,35.0,75.0,L,20.0,18.0,21.0,-32,1999,8
26689,29800442,7,9,0,2,0,0,0,0,0,0,0,Los Angeles Clippers,36.0,84.0,L,17.0,12.0,21.0,-9,1999,18
26690,29800443,3,9,1,3,0,0,0,1,0,0,1,Memphis Grizzlies,45.0,91.0,L,20.0,16.0,18.0,-12,1999,16
26691,29800444,3,3,1,2,0,0,0,0,0,0,3,Oklahoma City Thunder,43.0,110.0,L,22.0,11.0,28.0,-3,1999,9
26692,29800445,1,1,1,2,0,0,1,0,0,0,0,Houston Rockets,36.0,87.0,L,12.0,16.0,16.0,-1,1999,6
26693,29800446,4,4,0,0,0,0,0,0,0,0,0,Milwaukee Bucks,39.0,84.0,W,16.0,12.0,16.0,1,1999,8
26694,29800447,0,1,1,2,0,1,0,0,0,0,2,Cleveland Cavaliers,33.0,85.0,W,21.0,16.0,28.0,5,1999,4
